"X","FIPS","STNAME","CTYNAME","RNETMIG2013","RNETMIG2014","RNETMIG2015","RNETMIG2016","elec12","elec16","elec18","elect14to16","medAge16","medAge12","pct_for_born15","pct_bach_deg15","pct_non_white15","pct_unemp12","pct_unemp16","votes_gop_16","votes_dem_16","votes_total_16","repratio","State...County.Name","Poverty","MedianIncome"
125,12121,"Florida","Suwannee County",3.1452677495,6.4783444739,0.5717226002,5.8737486858,29.5691462049,16.0690835094,14.1695878075,12.3292014832,42.6,41.6,5.76,11.63,17.24,7.6,5.2,14281,3955,18675,76.471218206158,"Suwannee County (FL)",20.4,"$40,572"
126,12123,"Florida","Taylor County",5.7429692466,-13.73027923,-6.942744609,-11.01742552,4.4091733291,-25.9474801124,-20.94262638,-25.58384355,41.5,41.2,2.64,9.03,24.97,8.9,5.8,6923,2149,9279,74.6093329022524,"Taylor County (FL)",22.5,"$40,180"
127,12125,"Florida","Union County",-4.142011834,8.4807047531,7.7290888845,4.5862543406,-17.729262431,16.6540361442,-9.346424497,12.4752820179,40,39.7,2.42,7.83,26.04,6.8,4.5,4567,1014,5693,80.2213244335148,"Union County (FL)",24.7,"$43,795"
128,12127,"Florida","Volusia County",11.259655109,15.870778151,23.424739964,26.059971406,10.5844703242,76.61514463,43.335801372,39.593716417,46.6,46,7.49,21.62,17.08,9,5.1,142763,108793,260304,54.8447200196693,"Volusia County (FL)",14.2,"$45,356"
129,12129,"Florida","Wakulla County",3.3629205672,10.415164479,0.6991673552,9.3668690373,-4.625661856,23.8441214387,14.2324551533,19.3013336177,40.2,39.4,2.62,16.09,18.14,6.5,4.1,10507,4348,15344,68.4762773722628,"Wakulla County (FL)",13.1,"$56,158"
130,12131,"Florida","Walton County",31.08995291,29.2101787,26.804903768,33.598530259,30.7279225175,120.703565637,83.427181004,62.709015517,43.7,42.9,5.88,25.9,13.07,6.9,4.3,25695,6861,33559,76.5666438213296,"Walton County (FL)",13.1,"$54,686"
131,12133,"Florida","Washington County",-9.828808155,-5.901276561,11.461083482,0.2855278186,3.571386495,-3.9834734154,21.1611116379,-5.9026163524,41.3,40.8,2.24,11.14,20.34,8.2,5.1,8630,2261,11144,77.4407753050969,"Washington County (FL)",22.8,"$34,787"
132,19001,"Iowa","Adair County",-4.173678896,1.6266775112,-23.02178109,-14.14527194,-18.359131916,-39.7140544148,11.5189416751,-12.5185944288,45.7,46.2,1.12,15.29,1.54,3.6,2.7,2456,1127,3759,65.3365256717212,"Adair County (IA)",10.7,"$53,416"
133,19003,"Iowa","Adams County",-4.614792975,-5.92096795,-26.99868938,-12.62592344,-25.502336704,-50.160373745,-11.704967819,-18.54689139,46.3,46.8,0.62,15.1,2.67,3.2,2.6,1393,565,2082,66.9068203650336,"Adams County (IA)",12.3,"$46,939"
134,19005,"Iowa","Allamakee County",-8.081953848,-1.706848731,-15.54663992,-1.443626389,-16.130799665,-26.779068888,-4.6278243642,-4.572849062,45,44.6,4.36,16.28,3.33,5,4.3,4072,2409,6837,59.5582857978646,"Allamakee County (IA)",13.2,"$49,439"
135,19007,"Iowa","Appanoose County",-1.1829653,2.9221292055,-4.753793131,-4.147226542,-11.970558587,-7.1618557675,-2.3109242648,-1.6199796616,44.9,44.7,0.8,17.61,2.54,6.1,4.7,4031,1813,6096,66.1253280839895,"Appanoose County (IA)",18.7,"$39,124"
136,19009,"Iowa","Audubon County",1.3642564802,-12.72133402,-9.578544061,-11.46182331,-29.07594369,-32.3974449108,-19.415391758,-24.35506725,48.7,48.1,0.53,14.3,2.33,3.8,2.8,2135,1079,3379,63.1843740751702,"Audubon County (IA)",11.1,"$49,560"
137,19011,"Iowa","Benton County",-6.832165525,-5.612065942,-3.865451067,-1.522426514,-13.404522361,-17.832109048,-4.486096104,-7.329355857,42.2,41.7,0.68,21.63,2.24,4.7,3.3,8226,4672,13690,60.0876552227904,"Benton County (IA)",7.8,"$63,069"
138,19013,"Iowa","Black Hawk County",3.9122980597,-0.150185667,-2.006633872,-8.657294802,-2.013814765,-6.9018162813,-12.339290646,-12.028963027,34.9,34.4,4.69,27.04,14.78,5,4.4,27382,32006,63221,43.3115578684298,"Black Hawk County (IA)",16.1,"$50,887"
